Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Jennifer Yuen,@JenniferYuen1,2018-01-02T23:08:52.000Z,False, is also having free days for Illinois residents on January 3 - 4.,0,0,0,0,[],['@FieldMuseum'],[],https://pbs.twimg.com/profile_images/870338243262283777/bR6RIRqs_normal.jpg,https://x.com/JenniferYuen1/status/948330280410107905,tweet_id:948330280410107905
Flying Compass,@FlyingCompass,2018-01-02T22:07:05.000Z,False,An AMAZING way to travel to     #architecture #tours  #pizza,0,0,1,0,"['#architecture', '#tours', '#pizza']","['@ChooseChicago', '@Amtrak', '@ChiUnionStation', '@FieldMuseum', '@artinstitutechi']",[],https://pbs.twimg.com/profile_images/913497057704497154/HyW2M5aA_normal.jpg,https://x.com/FlyingCompass/status/948314729721815040,tweet_id:948314729721815040
Cliff Murphy,@murphy_cliff,2018-01-02T22:07:02.000Z,False,I love the .,0,0,0,0,[],['@hideoutchicago'],[],https://pbs.twimg.com/profile_images/923290066721689600/4Lk3b1EJ_normal.jpg,https://x.com/murphy_cliff/status/948314718963486720,tweet_id:948314718963486720
Mommy Nearest CHI,@MommyNearestCHI,2018-01-02T22:01:26.000Z,False,We picked the 10 best things for your family to do this month in Chicago! http://ow.ly/YHsc30hxOt4       ,0,1,3,0,[],"['@MortonArboretum', '@TheatreSchool', '@ChiChildTheatre', '@mcachicago', '@NatureMuseum', '@FieldMuseum', '@childrensmuseum']",[],https://pbs.twimg.com/profile_images/710126845417627648/c7vHHBxc_normal.jpg,https://x.com/MommyNearestCHI/status/948313308192493570,tweet_id:948313308192493570
Field Museum,@FieldMuseum,2018-01-02T22:00:53.000Z,False,#NewYearsResolution: go to museums! Start now with Free Admission Days for IL residents on January 3 & 4: http://field.mu/nitz30hxyLb,0,10,17,0,['#NewYearsResolution'],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948313170111877124,tweet_id:948313170111877124
Lyzmaniac,@VertigoMama,2018-01-02T21:44:47.000Z,False,Awww I remember this! #suethetrex #deanambrose @ The Field Museum https://instagram.com/p/Bddm6j9F1HZ/,0,0,0,0,"['#suethetrex', '#deanambrose']",[],[],https://pbs.twimg.com/profile_images/1820257469966233600/WAZ-H01M_normal.jpg,https://x.com/VertigoMama/status/948309117726273541,tweet_id:948309117726273541
Field Museum,@FieldMuseum,2018-01-02T21:15:13.000Z,False,"Next week, we're talking Paleontology Post-Jurassic Park .  Our own Brandon Peecook will discuss how his field has developed since Jeff Goldblum was mauled by a T. rex. Don't miss out!",1,7,15,0,[],['@hideoutchicago'],['\\U0001f37b'],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948301679052705792,tweet_id:948301679052705792
Jen Biddle,@DrJenBiddle,2018-01-02T21:10:39.000Z,False," we have room for one more, don't we?",0,0,1,0,[],['@fish_scientist'],[],https://pbs.twimg.com/profile_images/1364783582590472195/whMqeZ3Z_normal.jpg,https://x.com/DrJenBiddle/status/948300531285544960,tweet_id:948300531285544960
Joshua Drew @Drew_Lab@ecoevo.social,@Drew_Lab@ecoevo.social,2018-01-02T21:05:18.000Z,False,"He has also already published. As a High. School. Student.  (here: http://biomedcentral.com/1472-6785/12/15/abstract…) so if you're looking for an awesome grad student/tech, let me know!",1,1,10,0,[],[],[],https://pbs.twimg.com/profile_images/1417864084024926211/0f9rYc9o_normal.jpg,https://x.com/Drew_Lab/status/948299183676645377,tweet_id:948299183676645377
Chicago Things to Do,@redeyechicago,2018-01-02T21:03:00.000Z,False,"On deck this week: 
* ""Red Velvet"" at  Theatre
* Free admission at The  Wednesday
* Sons of the Silent Age at http://trib.in/2luvuhA",0,4,8,0,[],"['@chicagoshakes', '@FieldMuseum', '@MetroChicago']",[],https://pbs.twimg.com/profile_images/1284226688390488065/T7iHAAwi_normal.jpg,https://x.com/redeyechicago/status/948298603998531584,tweet_id:948298603998531584
